GNPS_annotation	Curated_GNPS_Annotation	Inchi_whole string	SMILES_canonical	Structural_Class	Structural_Subclass	Structural_Subclass2	Source_GFOP	Source	Source_Sub1	Source_Sub2	Drug_Info_1	Drug_Info_2	Bioactivity_boolean	Bioactivity_Known	Origin_Known	Sample_Type_Detected_In_Food	Sample_Type_Detected_In_HumanFeces	Project_Vital_Foodomics	Project_Vital_AGP1	Comment	Reference
1-Oleoyl-sn-glycero-3-phosphocholine	1-(9Z-Octadecenoyl)-sn-glycero-3-phosphocholine	InChI=1S/C26H52NO7P/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-26(29)32-23-25(28)24-34-35(30,31)33-22-21-27(2,3)4/h12-13,25,28H,5-11,14-24H2,1-4H3/b13-12-/t25-/m1/s1	CCCCCCCCC=CCCCCCCCC(=O)OCC(COP(=O)([O-])OCC[N+](C)(C)C)O	lipid	phospholipid	phosphocholine	multiple sources	multiple sources	multiple sources	multiple sources						yes	yes	yes	yes	Lysolecithin	https://pubchem.ncbi.nlm.nih.gov/compound/16081932#section=Top
Spectral Match to 1-(9Z-Octadecenoyl)-sn-glycero-3-phosphoethanolamine from NIST14	1-(9Z-Octadecenoyl)-sn-glycero-3-phosphoethanolamine	InChI=1S/C23H46NO7P/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-23(27)24-18-19-30-32(28,29)31-21-22(26)20-25/h9-10,22,25-26H,2-8,11-21H2,1H3,(H,24,27)(H,28,29)/p-1/b10-9-/t22-/m1/s1	InChI=1S/C23H46NO7P/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-23(27)24-18-19-30-32(28,29)31-21-22(26)20-25/h9-10,22,25-26H,2-8,11-21H2,1H3,(H,24,27)(H,28,29)/p-1/b10-9-/t22-/m1/s1	lipid	phospholipid		multiple sources	multiple sources	multiple sources	multiple sources						yes	yes	yes	yes		https://pubchem.ncbi.nlm.nih.gov/compound/91666406#section=Top
1-Cinnamoylpiperidine	1-Cinnamoylpiperidine	InChI=1S/C14H17NO/c16-14(15-11-5-2-6-12-15)10-9-13-7-3-1-4-8-13/h1,3-4,7-10H,2,5-6,11-12H2/b10-9+	C1CCN(CC1)C(=O)C=CC2=CC=CC=C2	phytochemical	cinnamic acid		food	food	food	plant						yes	yes	yes	yes		https://pubchem.ncbi.nlm.nih.gov/compound/764160#section=Top
1-desoxymethylsphinganine	1-Desoxymethylsphinganine	InChI=1S/C17H37NO/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-17(19)16-18/h17,19H,2-16,18H2,1H3/t17-/m1/s1	CCCCCCCCCCCCCCCC(CN)O	lipid	sphingolipid		multiple sources	multiple sources	multiple sources	multiple sources						yes	yes	yes	yes		https://avantilipids.com/product/860473/ : https://pubchem.ncbi.nlm.nih.gov/compound/70678793#section=Top
1-Heptadecanoyl-sn-glycero-3-phosphocholine	1-Heptadecanoyl-sn-glycero-3-phosphocholine	InChI=1S/C25H52NO7P/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-25(28)31-22-24(27)23-33-34(29,30)32-21-20-26(2,3)4/h24,27H,5-23H2,1-4H3/t24-/m1/s1	CCCCCCCCCCCCCCCCC(=O)OCC(COP(=O)([O-])OCC[N+](C)(C)C)O	lipid	phospholipid		multiple sources	multiple sources	multiple sources	multiple sources						yes	yes	yes	yes		https://pubchem.ncbi.nlm.nih.gov/compound/24779463#section=Top
1-Palmitoyl-sn-glycero-3-phosphocholine	1-Hexadecanoyl-sn-glycero-3-phosphocholine	InChI=1S/C24H50NO7P/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-24(27)30-21-23(26)22-32-33(28,29)31-20-19-25(2,3)4/h23,26H,5-22H2,1-4H3/t23-/m1/s1	CCCCCCCCCCCCCCCC(=O)OCC(COP(=O)([O-])OCC[N+](C)(C)C)O	lipid	phospholipid		multiple sources	multiple sources	multiple sources	multiple sources						yes	yes	yes	yes		https://pubchem.ncbi.nlm.nih.gov/compound/460602
Spectral Match to 1-Hexadecanoyl-sn-glycero-3-phosphocholine from NIST14	1-Hexadecanoyl-sn-glycero-3-phosphocholine	InChI=1S/C24H50NO7P/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-24(27)30-21-23(26)22-32-33(28,29)31-20-19-25(2,3)4/h23,26H,5-22H2,1-4H3/t23-/m1/s1	CCCCCCCCCCCCCCCC(=O)OCC(COP(=O)([O-])OCC[N+](C)(C)C)O	lipid	phospholipid		multiple sources	multiple sources	multiple sources	multiple sources						yes	yes	yes	yes		https://pubchem.ncbi.nlm.nih.gov/compound/460602
Spectral Match to 1-Hexadecanoyl-sn-glycero-3-phosphoethanolamine from NIST14	1-Hexadecanoyl-sn-glycero-3-phosphoethanolamine	InChI=1S/C21H44NO7P/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-21(24)27-18-20(23)19-29-30(25,26)28-17-16-22/h20,23H,2-19,22H2,1H3,(H,25,26)/t20-/m1/s1	CCCCCCCCCCCCCCCC(=O)OCC(COP(=O)(O)OCCN)O	lipid	phospholipid	glycerophospholipid	multiple sources	multiple sources	multiple sources	multiple sources						yes	yes	yes	yes		https://pubchem.ncbi.nlm.nih.gov/compound/9547069#section=3D-Status
Spectral Match to 1-Palmitoyl-2-hydroxy-sn-glycero-3-phosphoethanolamine from NIST14	1-Hexadecanoyl-sn-glycero-3-phosphoethanolamine	InChI=1S/C21H44NO7P/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-21(24)27-18-20(23)19-29-30(25,26)28-17-16-22/h20,23H,2-19,22H2,1H3,(H,25,26)/t20-/m1/s1	CCCCCCCCCCCCCCCC(=O)OCC(COP(=O)(O)OCCN)O	lipid	phospholipid	glycerophospholipid	multiple sources	multiple sources	multiple sources	multiple sources						yes	yes	yes	yes		https://pubchem.ncbi.nlm.nih.gov/compound/9547069
Spectral Match to 1-Hexadecyl-sn-glycero-3-phosphocholine from NIST14	1-Hexadecyl-sn-glycero-3-phosphocholine	InChI=1S/C24H52NO6P/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-20-29-22-24(26)23-31-32(27,28)30-21-19-25(2,3)4/h24,26H,5-23H2,1-4H3/t24-/m1/s1	CCCCCCCCCCCCCCCCOCC(COP(=O)([O-])OCC[N+](C)(C)C)O	lipid	phospholipid		multiple sources	multiple sources	multiple sources	multiple sources						yes	yes	yes	yes		https://pubchem.ncbi.nlm.nih.gov/compound/162126#section=2D-Structure
1-Myristoyl-sn-glycero-3-phosphocholine	1-Myristoyl-sn-glycero-3-phosphocholine	InChI=1S/C22H46NO7P/c1-5-6-7-8-9-10-11-12-13-14-15-16-22(25)28-19-21(24)20-30-31(26,27)29-18-17-23(2,3)4/h21,24H,5-20H2,1-4H3/t21-/m1/s1	CCCCCCCCCCCCCC(=O)OCC(COP(=O)([O-])OCC[N+](C)(C)C)O	lipid	phospholipid		multiple sources	multiple sources	multiple sources	multiple sources						yes	yes	yes	yes		https://pubchem.ncbi.nlm.nih.gov/compound/460604#section=Top
1-Stearoyl-2-hydroxy-sn-glycero-3-phosphocholine	1-Octadecanoyl-sn-glycero-3-phosphocholine	InChI=1S/C26H54NO7P/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-26(29)32-23-25(28)24-34-35(30,31)33-22-21-27(2,3)4/h25,28H,5-24H2,1-4H3/t25-/m1/s1	CCCCCCCCCCCCCCCCCC(=O)OCC(COP(=O)([O-])OCC[N+](C)(C)C)O	lipid	phospholipid		multiple sources	multiple sources	multiple sources	multiple sources						yes	yes	yes	yes		https://pubchem.ncbi.nlm.nih.gov/compound/497299#section=Top
Spectral Match to 1-Stearoyl-2-hydroxy-sn-glycero-3-phosphocholine from NIST14	1-Octadecanoyl-sn-glycero-3-phosphocholine	InChI=1S/C26H54NO7P/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-26(29)32-23-25(28)24-34-35(30,31)33-22-21-27(2,3)4/h25,28H,5-24H2,1-4H3/t25-/m1/s1	CCCCCCCCCCCCCCCCCC(=O)OCC(COP(=O)([O-])OCC[N+](C)(C)C)O	lipid	phospholipid		multiple sources	multiple sources	multiple sources	multiple sources						yes	yes	yes	yes		https://pubchem.ncbi.nlm.nih.gov/compound/497299#section=Top
1-Oleoyl-2-hydroxy-sn-glycero-3-phospho-(1'-rac-glycerol)	1-Oleoyl-2-hydroxy-sn-glycero-3-phospho-(1'-rac-glycerol)			lipid	phospholipid		multiple sources	multiple sources	multiple sources	multiple sources						yes	yes	yes	yes		
1-Oleoyl-2-palmitoyl-rac-glycerol	1-Oleoyl-2-palmitoylglycerol	InChI=1S/C37H70O5/c1-3-5-7-9-11-13-15-17-18-20-21-23-25-27-29-31-36(39)41-34-35(33-38)42-37(40)32-30-28-26-24-22-19-16-14-12-10-8-6-4-2/h17-18,35,38H,3-16,19-34H2,1-2H3/b18-17-	CCCCCCCCCCCCCCCC(=O)OC(CO)COC(=O)CCCCCCCC=CCCCCCCCC	lipid	phospholipid		multiple sources	multiple sources	multiple sources	multiple sources						yes	yes	yes	yes		https://pubchem.ncbi.nlm.nih.gov/compound/45040152
Spectral Match to 1-Octadecyl-sn-glycero-3-phosphocholine from NIST14	1-Oleoyl-2-palmitoylglycerol	InChI=1S/C37H70O5/c1-3-5-7-9-11-13-15-17-18-20-21-23-25-27-29-31-36(39)41-34-35(33-38)42-37(40)32-30-28-26-24-22-19-16-14-12-10-8-6-4-2/h17-18,35,38H,3-16,19-34H2,1-2H3/b18-17-	CCCCCCCCCCCCCCCC(=O)OC(CO)COC(=O)CCCCCCCC=CCCCCCCCC	lipid	phospholipid		multiple sources	multiple sources	multiple sources	multiple sources						yes	yes	yes	yes		https://pubchem.ncbi.nlm.nih.gov/compound/2733532#section=Top
1-Oleoyl-sn-glycero-3-phosphoethanolamine	1-Oleoyl-sn-glycero-3-phosphoethanolamine			lipid	monoglyceride		multiple sources	multiple sources	multiple sources	multiple sources						yes	yes	yes	yes		
1-Palmitoyl-2-linoleoyl-rac-glycerol	1-Palmitoyl-2-linoleoyl-rac-glycerol	InChI=1S/C37H68O5/c1-3-5-7-9-11-13-15-17-18-20-22-24-26-28-30-32-37(40)42-35(33-38)34-41-36(39)31-29-27-25-23-21-19-16-14-12-10-8-6-4-2/h11,13,17-18,35,38H,3-10,12,14-16,19-34H2,1-2H3/b13-11-,18-17-	CCCCCCCCCCCCCCCC(=O)OCC(CO)OC(=O)CCCCCCCC=CCC=CCCCCC	lipid			multiple sources	multiple sources	multiple sources	multiple sources						yes	yes	yes	yes		https://pubchem.ncbi.nlm.nih.gov/compound/14275381#section=Top
Spectral Match to 1-Pentadecanoyl-sn-glycero-3-phosphocholine from NIST14	1-Pentadecanoyl-sn-glycero-3-phosphocholine	InChI=1S/C23H48NO7P/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-23(26)29-20-22(25)21-31-32(27,28)30-19-18-24(2,3)4/h22,25H,5-21H2,1-4H3/t22-/m1/s1	CCCCCCCCCCCCCCC(=O)OCC(COP(=O)([O-])OCC[N+](C)(C)C)O	lipid	phospholipid		multiple sources	multiple sources	multiple sources	multiple sources						yes	yes	yes	yes		https://pubchem.ncbi.nlm.nih.gov/compound/24779458
1-Stearoyl-2-hydroxy-sn-glycero-3-phosphoethanolamine	1-Stearoyl-2-hydroxy-sn-glycero-3-phosphoethanolamine	InChI=1S/C23H48NO7P/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-23(26)29-20-22(25)21-31-32(27,28)30-19-18-24/h22,25H,2-21,24H2,1H3,(H,27,28)/t22-/m1/s1	CCCCCCCCCCCCCCCCCC(=O)OCC(COP(=O)([O-])OCC[NH3+])O	lipid	phospholipid		multiple sources	multiple sources	multiple sources	multiple sources						yes	yes	yes	yes		https://pubchem.ncbi.nlm.nih.gov/compound/46891690#section=Top
Spectral Match to 1-Stearoyl-2-hydroxy-sn-glycero-3-phosphoethanolamine from NIST14	1-Stearoyl-2-hydroxy-sn-glycero-3-phosphoethanolamine	InChI=1S/C23H48NO7P/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-23(26)29-20-22(25)21-31-32(27,28)30-19-18-24/h22,25H,2-21,24H2,1H3,(H,27,28)/t22-/m1/s1	CCCCCCCCCCCCCCCCCC(=O)OCC(COP(=O)([O-])OCC[NH3+])O	lipid	phospholipid		multiple sources	multiple sources	multiple sources	multiple sources						yes	yes	yes	yes		https://pubchem.ncbi.nlm.nih.gov/compound/46891690#section=Top
1,2-Dilinoleoylglycerol	1,2-Dilinoleoylglycerol	InChI=1S/C39H68O5/c1-3-5-7-9-11-13-15-17-19-21-23-25-27-29-31-33-38(41)43-36-37(35-40)44-39(42)34-32-30-28-26-24-22-20-18-16-14-12-10-8-6-4-2/h11-14,17-20,37,40H,3-10,15-16,21-36H2,1-2H3/b13-11-,14-12-,19-17-,20-18-	CCCCCC=CCC=CCCCCCCCC(=O)OCC(CO)OC(=O)CCCCCCCC=CCC=CCCCCC	lipid	diglyceride		multiple sources	multiple sources	multiple sources	multiple sources						yes	yes	yes	yes		https://pubchem.ncbi.nlm.nih.gov/compound/6438297
1,2-Dioleoyl-sn-glycerol	1,2-Dioleoyl-sn-glycerol	InChI=1S/C39H72O5/c1-3-5-7-9-11-13-15-17-19-21-23-25-27-29-31-33-38(41)43-36-37(35-40)44-39(42)34-32-30-28-26-24-22-20-18-16-14-12-10-8-6-4-2/h17-20,37,40H,3-16,21-36H2,1-2H3/b19-17-,20-18-/t37-/m0/s1	CCCCCCCCC=CCCCCCCCC(=O)OCC(CO)OC(=O)CCCCCCCC=CCCCCCCCC	lipid	diglyceride		multiple sources	multiple sources	multiple sources	multiple sources						yes	yes	yes	yes		https://pubchem.ncbi.nlm.nih.gov/compound/1_2-Dioleoyl-sn-glycerol
.alpha.,.alpha.'-Dilaurin	1,3-Dilaurin	InChI=1S/C27H52O5/c1-3-5-7-9-11-13-15-17-19-21-26(29)31-23-25(28)24-32-27(30)22-20-18-16-14-12-10-8-6-4-2/h25,28H,3-24H2,1-2H3	CCCCCCCCCCCC(=O)OCC(COC(=O)CCCCCCCCCCC)O	lipid			multiple sources	multiple sources	multiple sources	multiple sources						yes	yes	yes	yes		https://pubchem.ncbi.nlm.nih.gov/compound/1_3-Dilaurin#section=Top
1,4-Dibenzylpiperazine	1,4-Dibenzylpiperazine 	InChI=1S/C18H22N2/c1-3-7-17(8-4-1)15-19-11-13-20(14-12-19)16-18-9-5-2-6-10-18/h1-10H,11-16H2	C1CN(CCN1CC2=CC=CC=C2)CC3=CC=CC=C3	drug	drug		drug	drug	drug	drug	recreational drug		yes	pharmaceutical		yes	yes	yes	yes		https://pubchem.ncbi.nlm.nih.gov/compound/1_4-Dibenzylpiperazine#section=IUPAC-Name
cis-10-Heptadecenoic acid	10-Heptadecenoic Acid	InChI=1S/C17H32O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17(18)19/h7-8H,2-6,9-16H2,1H3,(H,18,19)/b8-7-	CCCCCCC=CCCCCCCCCC(=O)O	lipid	fatty acid		multiple sources	multiple sources	multiple sources	multiple sources						yes	yes	yes	yes		https://pubchem.ncbi.nlm.nih.gov/compound/cis-10-Heptadecenoic_acid
cis-10-Nonadecenoic acid	10-Nonadecenoic acid	InChI=1S/C19H36O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19(20)21/h9-10H,2-8,11-18H2,1H3,(H,20,21)/b10-9-	CCCCCCCCC=CCCCCCCCCC(=O)O	lipid	fatty acid		multiple sources	multiple sources	multiple sources	multiple sources						yes	yes	yes	yes		https://pubchem.ncbi.nlm.nih.gov/compound/cis-10-Nonadecenoic_acid
11-Deoxyprostaglandin E1	11-Deoxy prostaglandin E1	InChI=1S/C20H34O4/c1-2-3-6-9-17(21)14-12-16-13-15-19(22)18(16)10-7-4-5-8-11-20(23)24/h12,14,16-18,21H,2-11,13,15H2,1H3,(H,23,24)/b14-12+/t16-,17-,18+/m0/s1	CCCCCC(C=CC1CCC(=O)C1CCCCCCC(=O)O)O	lipid	eicosanoid	prostaglandin	unknown	unknown	synthetic	synthetic						yes	yes	yes	yes		https://pubchem.ncbi.nlm.nih.gov/compound/11-Deoxy-PGE1
11,14,17-Eicosatrienoic acid, (Z,Z,Z)-	11,14,17-Eicosatrienoic acid	InChI=1S/C20H34O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20(21)22/h3-4,6-7,9-10H,2,5,8,11-19H2,1H3,(H,21,22)/b4-3-,7-6-,10-9-	CCC=CCC=CCC=CCCCCCCCCCC(=O)O	lipid	fatty acid		multiple sources	multiple sources	multiple sources	multiple sources						yes	yes	yes	yes		https://pubchem.ncbi.nlm.nih.gov/compound/Eicosatrienoic_acid#section=Top
12-Deoxywithastramonolide	12-Deoxywithastramonolide	InChI=1S/C28H38O6/c1-14-12-20(33-25(31)16(14)13-29)15(2)17-7-8-18-22-19(9-11-26(17,18)3)27(4)21(30)6-5-10-28(27,32)24-23(22)34-24/h5-6,15,17-20,22-24,29,32H,7-13H2,1-4H3/t15-,17+,18-,19-,20+,22-,23-,24-,26+,27-,28-/m0/s1	CC1=C(C(=O)OC(C1)C(C)C2CCC3C2(CCC4C3C5C(O5)C6(C4(C(=O)C=CC6)C)O)C)CO	phytochemical			food	food	food	plant						yes	yes	yes	yes		https://link.springer.com/article/10.1007/s11627-012-9458-8 ; https://pubchem.ncbi.nlm.nih.gov/compound/44576309
Spectral Match to 12(S)-Hydroxy-16-heptadecynoic acid from NIST14	12-Hydroxy-16-heptadecynoic acid	InChI=1S/C17H30O3/c1-2-3-10-13-16(18)14-11-8-6-4-5-7-9-12-15-17(19)20/h1,16,18H,3-15H2,(H,19,20)/t16-/m0/s1	C#CCCCC(CCCCCCCCCCC(=O)O)O	lipid			multiple sources	multiple sources	multiple sources	multiple sources						yes	yes	yes	yes	likely synthetic	https://pubchem.ncbi.nlm.nih.gov/compound/5282972#section=Top
12-Ketodeoxycholic acid	12-Ketolithocholic acid	InChI=1S/C24H38O4/c1-14(4-9-22(27)28)18-7-8-19-17-6-5-15-12-16(25)10-11-23(15,2)20(17)13-21(26)24(18,19)3/h14-20,25H,4-13H2,1-3H3,(H,27,28)/t14-,15-,16-,17+,18-,19+,20+,23+,24-/m1/s1	CC(CCC(=O)O)C1CCC2C1(C(=O)CC3C2CCC4C3(CCC(C4)O)C)C	lipid	bile acid	secondary bile acid	bacteria	bacteria	bacteria modified	bacteria modified human metabolite						yes	yes	yes	yes	12-oxolithocholic acid	https://pubchem.ncbi.nlm.nih.gov/compound/12-Ketolithocholic_acid
Spectral Match to 12-Ketodeoxycholic acid from NIST14	12-Ketolithocholic acid	InChI=1S/C24H38O4/c1-14(4-9-22(27)28)18-7-8-19-17-6-5-15-12-16(25)10-11-23(15,2)20(17)13-21(26)24(18,19)3/h14-20,25H,4-13H2,1-3H3,(H,27,28)/t14-,15-,16-,17+,18-,19+,20+,23+,24-/m1/s1	CC(CCC(=O)O)C1CCC2C1(C(=O)CC3C2CCC4C3(CCC(C4)O)C)C	lipid	bile acid	secondary bile acid	bacteria	bacteria	bacteria modified	bacteria modified human metabolite						yes	yes	yes	yes	12-oxolithocholic acid	https://pubchem.ncbi.nlm.nih.gov/compound/12-Ketolithocholic_acid
cis-12-Octadecenoic acid methyl ester	12-Octadecenoic acid methyl ester		CCCCC/C=C\CCCCCCCCCCC(=O)OC	lipid	fatty acid		multiple sources	multiple sources	multiple sources	multiple sources						yes	yes	yes	yes		https://www.scbt.com/scbt/product/cis-12-octadecenoic-acid-methyl-ester-2733-86-0
Eicosanoids_12-oxoETE_C20H30O3	12-oxoETE	InChI=1S/C20H30O3/c1-2-3-4-5-10-13-16-19(21)17-14-11-8-6-7-9-12-15-18-20(22)23/h7-11,13-14,17H,2-6,12,15-16,18H2,1H3,(H,22,23)/b9-7-,11-8-,13-10-,17-14+	CCCCCC=CCC(=O)C=CC=CCC=CCCCC(=O)O	lipid	fatty acid		multiple sources	multiple sources	multiple sources	multiple sources						yes	yes	yes	yes		https://pubchem.ncbi.nlm.nih.gov/compound/12-oxo-ETE
12(13)-Epoxy-9Z-octadecenoic acid	12(13)-Epoxy-9-octadecenoic acid	InChI=1S/C18H32O3/c1-2-3-10-13-16-17(21-16)14-11-8-6-4-5-7-9-12-15-18(19)20/h8,11,16-17H,2-7,9-10,12-15H2,1H3,(H,19,20)/b11-8-	CCCCCC1C(O1)CC=CCCCCCCCC(=O)O	lipid	fatty acid	linoleic acid	multiple sources	multiple sources	multiple sources	multiple sources						yes	yes	yes	yes	generated by neurtrophiles during oxidative burst	https://pubchem.ncbi.nlm.nih.gov/compound/5356421#section=Top
Spectral Match to 12(13)-Epoxy-9Z-octadecenoic acid from NIST14	12(13)-Epoxy-9-octadecenoic acid	InChI=1S/C18H32O3/c1-2-3-10-13-16-17(21-16)14-11-8-6-4-5-7-9-12-15-18(19)20/h8,11,16-17H,2-7,9-10,12-15H2,1H3,(H,19,20)/b11-8-	CCCCCC1C(O1)CC=CCCCCCCCC(=O)O	lipid	fatty acid	linoleic acid	multiple sources	multiple sources	multiple sources	multiple sources						yes	yes	yes	yes	generated by neurtrophiles during oxidative burst	https://pubchem.ncbi.nlm.nih.gov/compound/5356421#section=Top
Spectral Match to 13-Docosenamide, (Z)- from NIST14	13-Docosenamide	InChI=1S/C22H43NO/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22(23)24/h9-10H,2-8,11-21H2,1H3,(H2,23,24)	CCCCCCCCC=CCCCCCCCCCCCC(=O)N	lipid	fatty acid		multiple sources	multiple sources	multiple sources	multiple sources						yes	yes	yes	yes		https://pubchem.ncbi.nlm.nih.gov/compound/8214
Spectral Match to 13S-Hydroxy-9Z,11E,15Z-octadecatrienoic acid from NIST14	13-Hydroxy-9,11,15-octadecatrienoic acid	InChI=1S/C18H30O3/c1-2-3-11-14-17(19)15-12-9-7-5-4-6-8-10-13-16-18(20)21/h3,7,9,11-12,15,17,19H,2,4-6,8,10,13-14,16H2,1H3,(H,20,21)/b9-7-,11-3-,15-12+/t17-/m0/s1	CCC=CCC(C=CC=CCCCCCCCC(=O)O)O	lipid	fatty acid		multiple sources	multiple sources	multiple sources	multiple sources						yes	yes	yes	yes		https://pubchem.ncbi.nlm.nih.gov/compound/16061072#section=Top
13-Keto-9Z,11E-octadecadienoic acid	13-Keto-9,11-octadecadienoic acid	InChI=1S/C18H30O3/c1-2-3-11-14-17(19)15-12-9-7-5-4-6-8-10-13-16-18(20)21/h7,9,12,15H,2-6,8,10-11,13-14,16H2,1H3,(H,20,21)/b9-7-,15-12+	CCCCCC(=O)C=CC=CCCCCCCCC(=O)O	lipid	fatty acid		multiple sources	multiple sources	multiple sources	multiple sources						yes	yes	yes	yes		https://pubchem.ncbi.nlm.nih.gov/compound/6446027
Spectral Match to 13-Keto-9Z,11E-octadecadienoic acid from NIST14	13-Keto-9,11-octadecadienoic acid	InChI=1S/C18H30O3/c1-2-3-11-14-17(19)15-12-9-7-5-4-6-8-10-13-16-18(20)21/h7,9,12,15H,2-6,8,10-11,13-14,16H2,1H3,(H,20,21)/b9-7-,15-12+	CCCCCC(=O)C=CC=CCCCCCCCC(=O)O	lipid	fatty acid		multiple sources	multiple sources	multiple sources	multiple sources						yes	yes	yes	yes		https://pubchem.ncbi.nlm.nih.gov/compound/6446027#section=Top
